wvl;fwhm
721.804511;3.7794737
724.711779;3.7794737
727.619048;3.7794737
730.526316;3.7793944
733.433584;3.7794737
736.340852;3.7793944
739.24812;3.7794737
742.155388;3.7794737
745.062657;3.7794737
747.969925;3.7793944
750.877193;3.7794737
753.784461;3.7794737
756.691729;3.7793944
759.598997;3.7794737
762.506266;3.7794737
765.413534;3.7793944
768.320802;3.7794737
771.22807;3.7794737
774.135338;3.7793944
777.042607;3.7794737
779.949875;3.7794737
782.857143;3.7793944
785.764411;3.7794737
788.671679;3.7794737
791.578947;3.7794737
794.486216;3.7793944
797.393484;3.7794737
800.300752;3.7793944
803.20802;3.7794737
806.115288;3.7794737
809.022556;3.7794737
811.929825;3.7793944
814.837093;3.7794737
817.744361;3.7794737
820.651629;3.7793944
823.558897;3.7794737
826.466165;3.7794737
829.373434;3.7793944
832.280702;3.7794737
835.18797;3.7794737
838.095238;3.7793944
841.002506;3.7794737
843.909774;3.7794737
846.817043;3.7793944
849.724311;3.7794737
852.631579;3.7794737
855.538847;3.7794737
858.446115;3.7793944
861.353383;3.7794737
864.260652;3.7793944
867.16792;3.7794737
870.075188;3.7794737
872.982456;3.7794737
875.889724;3.7793944
878.796992;3.7794737
881.704261;3.7794737
884.611529;3.7793944
887.518797;3.7794737
890.426065;3.7794737
893.333333;3.7793944
896.240602;3.7794737
899.14787;3.7794737
902.055138;3.7793944
904.962406;3.7794737
907.869674;3.7794737
910.776942;3.7793944
913.684211;3.7794737
916.591479;3.7794737
919.498747;3.7794737
922.406015;3.7793944
925.313283;3.7794737
928.220551;3.7793944
931.12782;3.7794737
934.035088;3.7794737
936.942356;3.7794737
939.849624;3.7793944
942.756892;3.7794737
945.66416;3.7794737
948.571429;3.7793944
951.478697;3.7794737
954.385965;3.7794737
957.293233;3.7793944
960.200501;3.7794737
963.107769;3.7794737
966.015038;3.7793944
968.922306;3.7794737
971.829574;3.7794737
974.736842;3.7793944
977.64411;3.7794737
980.551378;3.7794737
983.458647;3.7794737
986.365915;3.7793944
989.273183;3.7794737
990.468227;3.7793944
995.585284;6.6521848
1000.702341;6.6521055
1005.819398;6.6522642
1010.936455;6.6522642
1016.053512;6.6521055
1021.170569;6.6521848
1026.287625;6.6521055
1031.404682;6.6521848
1036.521739;6.6521848
1041.638796;6.6521848
1046.755853;6.6521848
1051.87291;6.6521848
1056.989967;6.6521848
1062.107023;6.6521848
1067.22408;6.6521848
1072.341137;6.6520261
1077.458194;6.6523435
1082.575251;6.6521848
1087.692308;6.6520261
1092.809365;6.6523435
1097.926421;6.6520261
1103.043478;6.6521848
1108.160535;6.6521848
1113.277592;6.6521848
1118.394649;6.6521848
1123.511706;6.6521848
1128.628763;6.6521848
1133.745819;6.6521848
1138.862876;6.6521848
1143.979933;6.6520261
1149.09699;6.6523435
1154.214047;6.6520261
1159.331104;6.6521848
1164.448161;6.6523435
1169.565217;6.6520261
1174.682274;6.6521848
1179.799331;6.6521848
1184.916388;6.6521848
1190.033445;6.6521848
1195.150502;6.6521848
1200.267559;6.6521848
1205.384615;6.6521848
1210.501672;6.6521848
1215.618729;6.6520261
1220.735786;6.6523435
1225.852843;6.6520261
1230.9699;6.6521848
1236.086957;6.6523435
1241.204013;6.6520261
1246.32107;6.6521848
1251.438127;6.6521848
1256.555184;6.6521848
1261.672241;6.6521848
1266.789298;6.6521848
1271.906355;6.6521848
1277.023411;6.6521848
1282.140468;6.6521848
1287.257525;6.6520261
1292.374582;6.6523435
1297.491639;6.6520261
1302.608696;6.6521848
1307.725753;6.6523435
1312.842809;6.6520261
1317.959866;6.6523435
1323.076923;6.6520261
1328.19398;6.6521848
1333.311037;6.6521848
1338.428094;6.6521848
1343.545151;6.6521848
1348.662207;6.6521848
1353.779264;6.6521848
1358.896321;6.6520261
